,name,type,description,prerequesite,skill_tree_id
0,Fire Talisman I,Jutsu,"Allows you to ready Fire Talisman I. When used, these magical items summon fire to envelop your weapon.

Amount Preparable: 1-3
Jutsu Cost: 1.5",Base,5
1,Fire Shot Talisman I,Jutsu,"Allows you to ready Fire Shot Talisman I

When used, these allow you to summon a magical ball of flame to launch at an enemy. Amount Preparable: 1-4
Jutsu Cost: 1.0",Fire Talisman I,5
2,Sensory Overload Talisman I,Jutsu,"Allows you to ready Sensory Overload Talismans. When used, these magical items cause an enemy to explode if they are killed, downed, or afflicted with Scorched. Any other enemies caught in the blast will also explode. Amount Preparable: 1-4
Jutsu Cost: 1.3","Explosive Shot Talisman I
Devigorate Talisman I",5
3,Water Shikigami I,Jutsu,"Allows you to ready Water Shikigami I. When used, these magical items summon a Water Shikigami I. When touched by an enemy. or struck by either friend or foe, it will inflict Water damage on enemies in the vicinity. ",Water Shot Talisman I,5
4,Vital Spirit I,Jutsu,Acquired Amrita +2%,"Cleared Mission ''???''
Extraction Talisman I
Pleiades Talisman I",5
5,Explosive Shot Talisman I,Jutsu,"Allows you to ready Explosive Shot Talisman In

When used, these magical items launch an explosive ball of fire at enemies.

Amount Preparable: 1-3
Jutsu Cost: 20","Fire Shot Talisman I
Explosive Mission: ''The Sun Sets On Mount Tenno''.",5
6,Fire Shikigami I,Jutsu,"Allows you to ready Fire Shikigami I

When used, these magical items summon a Fire Shikigami. When struck by either friend or foe, it will inflict fire damage on enemies in the vicinity.

Amount Preparable: 1-3
Jutsu Cost: 1.8",Fire Shot Talisman I,5
7,Fire Familiar Talisman I,Jutsu,"Allows you to ready Fire Familiar Talisman I

When used, these magical items cause several fireballs to appear and follow you temporarily. Enemies that come into contact with them will suffer Fire damage, and using a Strong Attack on an enemy will cause each fireball to follow

",Fire Shikigami I,5
8,Firestop Talisman I,Jutsu,"Allows you to ready Firestop Talisman

When used these magical items increase your resistance to fire. 

Amount Preparable :1-4
Jutsu Cost: 1.0",Fire Talisman I,5
9,Firebreak Decree,Passive,This will enhance the power of the Firestop Talisman. Meaning its effects will also be applied to allies in the vicinity.,Firestop Talisman I,5
10,Firebreak,Passive,+5.0 against fire,Firestop Talisman I,5
11,Devigorate Talisman I,Jutsu,Allows you to ready Devigorate Talisman I,Fire Talisman I,5
12,Weakness Talisman I,Jutsu,"Allows you to ready Weakness Talisman

When used, these magical items reduce the defense of your enemy.","Devigorate Talisman I
Waterstop Talisman I",5
13,Archyokai Talisman I,Jutsu,"Allows you to ready Archyokai Talisman I

When used, these magical items increase the amount of Yokai Force gained for a limited period of time.

Amount Preparable: 1-3
Jutus Cost: 1.6","Divination Talisman I
Fire Shot Talisman I",5
14,Extraction Talisman I,Jutsu,"Allows you to ready Extraction Talisman+I

When used, these magical items allow you to steal Amrita from enemies hit by your attacks.

Amount Preparable: 1-3
Jutsu Cost: 25",Pleiades Talisman I,5
15,Pleiades Talisman I,Jutsu,"Allows you to ready Pleiades Talisman

When used, these magical items increase the rate at which your Avita Gauge fills up.

Amount Preparable 1-3
Jutsu Cost: 25",Divination Talisman I,5
16,Divination Talisman I,Jutsu,"Allows you to ready Diviniation Talisman. When used, these magical items enhance the detection abilities of your compass. Amount Preparable: 1-3 Jutsu Cost: 1.5",Purification Talisman I,5
17,Resistance Talisman I,Jutsu,"Allows you to ready Resistance Talisman I

When used, these magical items increase your resistance to poison and paralysis.

Amount Preparable: 1-3
Jutsu Cost: 1.5",Purification Talisman I,5
18,Firestop Talisman,Jutsu,"Allows you to ready Firestop Talisman

When used, these magical items increase your resistance to fire.

Number ready: 1-4
Jutsu Cost: 1.0",Base,5
19,Resistance Talisman I,Jutsu,"Allows you to ready Resistance Talisman I. When used, these magical items increase your resistance to poison and paralysis.", ,5
20,Resistance Decree,Passive,"This will enhance the power of the Resistance Talisman I, meaning its effects will also be applied to allies in the vicinity",Resistance Talisman I,5
21,Steel Talisman I,Jutsu,"Allows you to ready Steel Talisman I. 

When used, these magical items increase your defense.

Amount Preparable: 1-3
Jutsu Cost: 1.5",Resistance Talisman I,5
22,Steel Decree,Passive,"This will enhance the power of the Steel Talisman I, meaning its effects will also be applied to allies in the vicinity.",Steel Talisman I,5
23,Protection Talisman I,Jutsu,"Allows you to ready Protection Talisman I

When used, these magical items neutralize a certain amount of damage. Amount Preparable: 1-2 Jutsu Cost: 6.0",Steel Talisman I,5
24,Evil Ward I,Passive,Reduces damage from yokai by 1%,Protection Talisman I,5
25,Protection Decree,Passive,"This will enhance the power of the Projection Talisman, meaning its effects will also be applied to allies in the vicinity.",Protection Talisman I,5
26,Gust Talisman I,Jutsu,"Allows you to ready Gust Talisman I

These are magical items that whip up wind energy to encircle you so that projection fire at you will be repelled for a short time.

Amount Preparable: 1-3
Jutsu Costs: 25",Lightning Talisman I,5
27,Blessed Bolt Talisman I,Jutsu,"Allows you to ready Blessed Bolt Talisman I

When used, these magical items summon and fire a divine arrow, which will strike the weak spots of enemies you are locked on to or the nearest enemy in range.

Amount Preparable: 1-3
Jutsu Cost: 1/5",Gust Talisman I,5
28,Pure Heaven Cursed Earth,Passive,Extends the range of purification,"Purification Talisman I
Lightning Talisman I",5
29,Incantation Mastery I,Passive ,Increases Omyo Magica Capacity by 3,"Shockwave Talisman I
Cleared Mission ''The Sun Sets On Mount Tenno''",5
30,Barrier Talisman I,Jutsu,"Allows you to ready Barrier Talisman I

When used, it increases your Ki recovery speed and allows you to dispel Youkai Realm pools simply by touching them.

Amount Preparable: 1-3
Jutsu Cost:25",Pure Heaven Cursed Earth I,5
31,Purification Talisman I,Jutsu,"Allows you to ready Purification Talisman I

When used, these magical items below a weapon with Purity for a limited period, inflicting additional Ki damage on yokai.

Amount Preparable: 1-3
Jutsu Cost: 15",Base,5
32,Spirit Water I,Passive,Increases duration of Sacred Water by 20%,Barrier Talisman I,5
33,Barrier Decree,Passive,"This will enhance the power of the Barrier Talisman, meaning its effects will also be applied to allies in the vicinity,",Barrier Talisman I,5
34,Pure Mind I,Passive,Vs. Yokai Realm and Dark Realm +10,Purification Talisman I,5
35,Sloth Talisman I,Jutsu,"Allows you to ready Sloth Talisman I. When used, these magical items greatly reduce the speed of your enemy.

Amount Preparable: 1-3
Jutsu Cost: 2.5","Pure Mind I
Pure Heaven Cursed Earth",5
36,Cutting Blast Talisman I,Jutsu,"Allows you to ready Cutting Blast Talisman I

When used, these magical items temporarily imbue your weapon with the power to release shockwaves when making strong attacks.

Number Ready: 1-3
Jutsu Cost: 3.0",Gust Talisman I,5
37,Shockwave Talisman I,Jutsu,"Allows you to ready Shockwave Talisman I

When used, these magical items allow you to release a shockwave when you perform a Ki Pulse, damaging Enemies in the Vicinity.","Thunderstorm Shot Talisman I
Cutting Blast Talisman I",5
38,Cleric,Passive,Increases Sacred Water that can be carried by 2.,Spirit Water I,5
39,Lightning Talisman I,Jutsu,"Allows you to ready Lightning Talisman I

These are magical items that summon lightning to envelop your weapon.


Amount Preparable 1-3
Jutsu Cost 1.5",Base,5
40,Thunderstorm Shot Talisman I,Jutsu,"Allows you to ready Thunderstorm Shot Talismans

When used, these magical items allow you to harness the energy of thunder and lightning to inflict damage on enemies.

Amount Preparable: 1-3
Justsu Cost: 2.0",Lightning Shot Talisman I,5
41,Lightning Shot Talisman I, Jutsu,"Allows you to ready Lightning Shot Talisman I

When used, these allow you to summon a magical ball of lightning energy to launch at an enemy.

Amount Preparable: 1-4
Justu Cost: 1.0",Lightning Talisman I,5
42,Lightningstop Talisman I,Jutsu,"Allows you to ready Lightningstop Talisman

When used, these magical items increase your resistance to lightning. Amount Preparable: 1-3 Jutsu Cost: 1.0",Lightning Talisman I,5
43,Lightningbreak I,Passive,+5.0 against lightning,Lightningstop Talisman I,5
44,Lightning Shikigami I,Jutsu,"Allows you to ready Lightning Shikigami I

When used, these magical items summon a Lightning Shikigami. When struck by either friend or foe, it will inflict lightning damage on enemies in the vicinity.

Amount Preparable: 1-3
Jutsu Cost: 1.8",Lightning Shot Talisman I,5
45,Lightningstop Decree,Passive,"This will enhance the power of the Lightningstop Talisman, meaning its effects will also be applied to allies in the vicinity.",Lightningstop Talisman I,5
46,Life Leech Talisman I,Jutsu,"Allows you to ready Life Leech Talisman I

When used, these magical items make enemies release vitality when damaged. You can then absorb this energy to restore life.

Amount Preparable: 1-4
Jutsu Cost: 2.2",Water Talisman I,5
47,Oasis Talisman I,Jutsu,"Allows you to read Oasis Talisman I

When used, these magical items gradually restore health to any allies within range.

Amount Preparable: 1-3
Jutsu Cost: 3.0",Life Leech Talisman I,5
48,Rejuvenation Talisman I,Jutsu,"Allows you to ready Rejuvenation Talisman I

When used, these magical items gradually restore your health.

Number to read: 1-3
Jutsu Cost: 25",Oasis Talisman I,5
49,Rejuvenation Decree,Passive,"This will enhance the power of the Rejuvenation Talisman I, meaning its effects will also be applied to allies in the vicinity.",Rejuvenation Talisman I,5
50,Panacea Curefast I,Passive,Increases health gained from elixirs by 5%,Rejuvenation Talisman I,5
51,Water Talisman I,Jutsu,"Allows you to ready Water Talisman

These are magical items that summon water to envelop your weapon.

Amount Preparable:1-3
Jutsu Cost: 1.5",Base,5
52,Water Shot Talisman I,Jutsu,"Allows you to ready Water Shot Talisman I

When used, these allow you to summon a magical ball of water energy to launch at an enemy

Amount Preparable: 1-4
Jutsu Cost: 1.0",Water Talisman I,5
53,Geyser Shot Talisman I,Jutsu,"Allows you to ready Geyser Shot Talisman I

When used, these magical items summon forth a powerful jet of water that inflicts damage on foes.

Amount Preparable: 1-3
Jutsu Cost: 20",Water Shot Talisman I,5
54,Waterstop Talisman I,Jutsu,"Allows you to ready Waterstop Talisman I

When used, these magical items increase your resistance to water.

Amount Preparable: 1-3 Jutsu Cost: 1.0",Water Talisman I,5
55,Waterbreak I,Passive,+5.0 against water,Waterstop Talisman I,5
56,Waterstop Decree,Passive,"This will enhance the power of the Waterstop Talisman I, meaning its effects will also be applied to allies in the vicinity.",Water Talisman I,5
57,Guardian Spirit Talisman I,Jutsu,"Allows you to ready Guardian Spirit Talismans. When used, these magical items conjure forth Guardian Spirits to attack your foes. Amount Preparade: 1-2 Jutsu Cost: 4.0",Blessed Bolt Talisman I,5
58,Ki Burst Talisman I,Jutsu,"Allows you to ready Ki Burst Talismans. When used, these magical items allow you to release a blast of Ki energy, inflicting damage on nearby enemies. Amount Preparade: 1-4 Jutsu Cost: 1.5",Shockwave Talisman I,5
59,Carnage Talisman I,Jutsu,"Allows you to ready Carnage Talismans. When used, these magical items lower your defense, but increase melee attack power. Amount Preparade: 1-3 Jutsu Cost: 2.5","Archyokai Talisman I
Cleared Mission ''The Sun Sets On Mount Tenno''",5
60,Lifeseal Talisman I,Jutsu,Allows you to ready Lifeseal Talismans. These are magical items that reduce the enemy's ability to recover Ki. Amount Preparade: 1-3 Jutsu Cost: 2.0,"Cleared Mission ''The Sun Sets On Mount Tenno''
Shockwave Talisman I

 ",5
61,Earthfolding Talisman,Jutsu,"Allows you to ready Earthfolding Talismans. When used, these magical items instantly transport you to the last shrine you prayed at. Amount Preparade: 1 Jutsu Cost: 8.0","Cleared Mision ''???''
Lightningstop Decree
Lightningbreak I",5
62,Soul Purge Talisman I,Jutsu,"Allows you to ready Soul Purge Talismans. When used, these magical items reduce the familiarity of your equipped weapon to zero, but raise both your attack strength and luck in return. They cannot be used if your familiarity level is less than 300. Amount Preparade: 1-2 Jutsu Cost: 4.0","Fire Familiar Talisman I
Cleared Mission''???''",5
63,Sanctity Talisman I,Jutsu,"Allows you to ready Sanctity Talismans. When used, these magical items temporarily negate all status effects regardless of whether they are positive or negative. Amount Preparade: 1-2 Jutsu Cost: 4.0",Barrier Talisman I,5
64,Soul Release Talisman,Jutsu,"Allows you to ready Soul Release Talismans. When used, these magical items reduce the familiarity of your equipped weapons to zero, transforming it into a blade of light that strikes the enemy. Cannot be used if familiarity is less than 300. Amount Preparade: 1 Jutsu Cost: 6.0","Fire Familiar Talisman I
Cleared Mission''???''",5
65,Talisman of the Fist I,Jutsu,"Allows you to ready Talismans of the Fist. When used, these magical items enhance the power of bare-handed attacks. Amount Preparade: 1-3 Jutsu Cost: 2.0","Weakness Talisman I
Cleared Mission ''The Sun Sets On Mount Tenno''",5
66,Luckbringer Talisman I,Jutsu,"Allows you to ready Luckbringer Talismans. When used, these magical items make it easier to find rare items. Amount Preparade: 1-2 Jutsu Cost: 6.0","Fire Talisman I
Water Talisman I",5
67,Weaithbringer Talismans I,Jutsu,"Allows you to ready Weaithbringer Talismans. When used, these magical items increase the amount of gold you obtain. Amount Preparade: 1-2 Jutsu Cost: 5.0",Extraction Talisman I,5
0,Tiger-running I,Jutsu,"Allows you to ready Tiger-running Scrolls. When used, these scrolls increases your top running and dash speeds. Amount Preparable 1-2 Jutsu Cost 3.0",Base,6
1,Caltrops I,Jutsu,Allows you to ready Caltrops. Scatter these caltrop spikes on the ground to inflict damage and reduce the movement speed of those who step on them. Amount Preparable 1-6 Jutsu Cost 0.8,Shuriken I,6
2,Endurace,Passive,Reduces damage over time inflicted by Poison and fire by 6%.,"Caltrop Ball I
Cleared Mission ''The Sun Sets On Mount Tenno''",6
3,Frugality,Passive,Give a chance to retrieve arrows or bullets that dealt the killing shot to an enemy's weak point.,Poison Arrows I,6
4,Healer,Jutsu,Increases elixir that be can carried by 1.,Medicine: Seven-Herb Pills I,6
5,Medicine: Power Pill I,Jutsu,"Allows you to ready Power Pill. When take, these medicinal pills temporarily enhace you attack strength. Amount Preparable 1-3 Jutsu Cost 2.0 ",Medicine: Seven-Herb Pills I,6
6,Fire: Gunpowder Bomb I,Jutsu,"Allows you to ready Iga gunpowder bombs. When thrown, this explosive device detonates on impact and damage all enemies in the vicinity. Amount Preparable 1-4 Jutsu Cost 1.3",Base,6
7,Fire: Shrapnel Bomb I,Jutsu,"Allows you to ready Iga shrapnel bombs. When thrown, this explosive device detonates on impact, sending ceramic shards flying and inflicting significant damage on all enemies in the vicinity. Amount Preparable 1-4 Jutsu Cost 1.3",Fire: Gunpowder Bomb I,6
8,Fire: Enhanced Shrapnel Bomb I,Jutsu,"Allows you to ready Iga enhanced shrapnel  bombs. When thrown, these devices explode on impact. The resulting blast and flying ceramic shards inflict devastating damage on all enemies in the vicinity. Amount Preparable 1-2 Jutsu Cost 7.0","Cleared Mission ''The Sun Sets On Mount Tenno''
Fire: Shrapnel Bomb I",6
9,Caltrop Ball I,Jutsu,"Allows you to ready Caltrop Balls. When thrown, this explosive device detonates on impact, scaltering caltrop spikes. Amount Preparable 1-2 Jutsu Cost 5.0","Cleared Mission ''The Sun Sets On Mount Tenno''
Caltrops I",6
10,Healing: Anti-toxin Pill I,Jutsu,"Allows you to ready Anti-toxin Pill. When taken, this pills neutralize the Poisoned  status ailment and dispel all Poison accumulation, simultaneously boostig your resistance to Poison. Amount Preparable 1-3 Jutsu Cost 1.0",Poison: Gallnut Broth I,6
11,Dashing,Passive,Reduces the Ki consumed by dashing by 5%,Tiger-running I,6
12,Cloudrunner,Passive,Increases normal running speed by 5%,"Dashing
Cleared Mission ''The Sun Sets On Mount Tenno''",6
13,Levitation,Jutsu,"Allows you to ready Levitation Scroll. When used, these scrolls grant temporary inmunity to terrain effects. Amount Preparable 1-3 Jutsu Cost 1.5",Dashing,6
14,Sneak Attack,Active,"Pressing triangle from behind an enemy that hasn't noticed you, will perform a powerful attack.",Tiger-running I,6
15,Catwalking I,Jutsu,"Allows you to ready Catwalking Scroll. When used, these scrolls allow you to move in total silence, excluding attacks, and also decrease damage when you fall from high places. Amount Preparable 1-4 Jutsu Cost 1.0",Tiger-running I,6
16,Kodama Transformation I,Jutsu,"Allows you to ready Kodama Transformation scroll. When used, these scrolls temporarily transforms you into a Kodama, causing enemies to ignore you. Amount Preparable 1-4 Jutsu Cost 0.5",Sneak Thief Scroll I,6
17,Sneak Thief,Passive,The enemy will drop an item when you pull off a successful sneak atack,"Sneak Attack
Cleared Mission ''The Sun Sets On Mount Tenno''",6
18,Sneak Thief Scroll I,Jutsu,"Allows you to ready Sneak Thief Scrolls. When used, these scrolls allows you to become more elusive, making it difficult for enemies to find you, though your defense is also reduced. As soon as an enemy spots you, the scrolls effects disappear. Amount Preparable 1-5 Jutsu Cost 0.6","Sneak Attack
Catwalking I",6
19,Smoke Ball I,Jutsu,"Allows you to ready Smoke Ball. When trhown, these devices creates a smokescreen that allows you to hide from enemies.",Fire: Gunpowder Bomb I,6
20,Shadow Arts: Yaroka Water I,Jutsu,"Allows you to ready Yaroka Water feather. When used, it inflicts water damage and major Ki damage on your enemy. If an enemy's Ki depleted, it will inflict major water damage. Amount Preparable 1-3 Jutsu Cost 2.0",Smoke Ball I,6
21,Shadow Arts: Raijin I,Jutsu,"Allows you to ready Raijin feather. When used, it inflicts lighting damage and major Ki damage on your enemy. If the enemy's Ki is depleted, it will inflict major lightning damage.",Smoke Ball I,6
22,Shadow Arts: Flaming Heron I,Jutsu,"Allows you to ready Flaming heron feather. When used, it inflicts fire damage and major Ki damage on your enemy. If the enemy's Ki depleted, it will inflict major fire damage. Amount Preparable 1-3 Jutsu Cost 2.0",Smoke Ball I,6
23,Quick-Change I,Jutsu,"Allows you to ready Quick-change Scroll. When used, these scrolls Temporarily allow you to survive an enemy's attack that would otherwise reduce your health to zero. Amount Preparable 1-2 Jutsu Cost 6.0","Shadow Arts: Yaroka Water I
Shadow Arts: Raijin I
Shadow Arts: Flaming Heron I
Cleared Mission ''The Sun Set On Mount Tenno''",6
24,Dodging,Passive,Reduces Ki consumed by dodging by 5%,"Quick-Change I
Cleared Mission ''???''",6
25,Fire: Kayaku-dama,Jutsu,"Allows you to ready Iga Style Kayaku-dama. When thrown, this explosive device detonates on impact and damage all enemies in the vicinity",Base,6
26,Groundfire I,Jutsu,"Allows you to ready Groundfire trap. When set, these traps will explode, either when an enemy steps on them, or after a set period of time has elapsed. Amount Preparable 1-4 Jutsu Cost 2.0",Fire: Gunpowder Bomb I,6
27,Fire: Shuriken I,Jutsu,"Allows you to ready shuriken. These throwing stars burst into flames upon impact, inflicting additional damage on their target","Fire: Gunpowder Bomb I
Shuriken I",6
28,Shuriken II,Jutsu,Allows you to ready shuriken with greater efficiency. Throw these razor-edged stars at enemies to inflict damage,Shuriken I,6
29,Snakebite Technique,Jutsu,Increases recurrent damage dealt by 10%,Cleared Mission ''The Sun Sets On Mount Tenno'',6
30,Bomb-making,Passive,Increases damage of gungpower and shraped bombs by 6%,"Fire: Enhanced Shrapnel Bomb I
Cleared Mission ''???''",6
31,Saboteur,Passive,Icreases gunpowder and shrapnel bomb carrying capacity by 1.,Fire: Shrapnel Bomb I,6
32,Shuriken III,Jutsu,Allows you to ready shuriken with greater efficiency. Throw these razor-edged stars at enemies to inflict damage,Shuriken II,6
33,Rakansen Coin,Jutsu,"Allows you to ready Rakansen Coin. Throwing  it deals damage to the enemy. This item does not dissapear, but ussing it will cost a small ammount of money. Amount Preparable 1 Jutsu Cost 1.0",Kunai I,6
34,Noxious Grounfire I,Jutsu,"Allows you to ready Noxious Grounfire traps. When set, these traps will explode either when an enemy steps on them, or after a set period of time has elapsed, scattering foul-smelling pollutans over the surrounding area. Amount Preparable 1-4 Jutsu Cost 1.0","Paralytic Groundfire I
Toxic Groundfire I",6
35,Shuriken I,Jutsu,Allows you to ready shuriken. Throw these razor-edged stars at enemies to inflict damage,Base,6
36,Shuriken Shooter,Active,"After throwing a shuriken, pressing the assigned button again throws another shuriken",Shuriken I,6
37,Thrown Blade Technique I,Passive,Increases shuriken damage by 5%.,Shuriken Shooter,6
38,Kunai I,Jutsu,"Allows you to ready kunai. When thrown, these items inflict damage on your enemy. Amount Preparable 1-7 Jutsu Cost 0.7",Shuriken I,6
39,Storm Kunai I,Jutsu,"Allows you to ready Storm Kunai. When thrown, these kunai inflict damage on your enemies. Amount Preparable 1-4 Jutsu Cost 1.5",Kunai I,6
40,Ninja Tool Mastery I,Passive,Increases Ninjitsu capacity by 3.,"Caltrops I

Poison Shuriken I
Cleared Mission ''The Sun Sets On Mount Tenno''.",6
41,Medicine: Anti-toxin Pill,Jutsu,"Allows you to ready Anti-toxic pill. When taken, these pills neutralise poison and remove the accumulation of toxins, while also boosting resistance to poison.",Base,6
42,Poison Control I,Passive,+5.0 against poison.,Medicine: Anti-toxin Pill I,6
43,Poison: Gallnut Broth I,Jutsu,"Allows you to ready gallnut broth. When used, this broth gives your weapon a poisoning effect. Amount Preparable 1-4 Jutsu Cost 1.5",Base,6
44,Poison: Blister-Beetle Powder I,Jutsu,"Allows you to ready blister-beetle powder. When thrown, it explodes on impact and releases a cloud of poisonous dust. Those who breath in the powder will become poisoned. Amount Preparable 1-3 Jutsu Cost 1.6",Poison: Gallnut Broth I,6
45,Toxic Groundfire I,Jutsu,"Allows you to ready toxic groudfire trap. When set, these traps will explode, either when an enemy steps on them, or after a set period of time has elapsed, scattering poisonous powder over the sorrounding area. Amount Preparable 1-4 Jutsu Cost 1.5",Poison: Blister-Beetle Powder I,6
46,Eagle Eye,Jutsu,"Allows you to ready eagle eye Scroll. When  used, these scrolls temporarily increase the power of your arrows when you aim with your bow at an enemy for an extended period of time. Amount Preparable 1-3 Jutsu Cost 0.8",Tiger-running I,6
47,Poison Arrows I,Jutsu,Allows you to ready Poison Arrow. These arrows have been treated with a toxic tincture that makes them poisionous for a limited time. Preparable 1-4 Jutsu Cost 1.5,Eagle Eye I,6
48,Poison Shuriken I,Jutsu,"Allows you to ready Poison Shuriken. When thrown, these weapons poison enemies as well as inflicting physical damage. Amount Preparable 1-6 Jutsu Cost 1.7","Poison: Gallnut Broth I
Shuriken I",6
49,Poison: Hemlock Broth I,Jutsu,"Allows you to ready hemlock broth. When used, this broth gives your weapon a paralyzing effect.",Poison: Gallnut Broth I,6
50,Poison: Medusa Powder I,Jutsu,"Allows you to ready Medusa Powder. When thrown, it explodes on impact and realeses a cloud of paralysing dust. Those who breath in the powder will become paralyzed. Amount Preparable 1-3 Jutsu Cost 1.6",Poison: Hemlock Broth,6
51,Blinding Shell I,Jutsu,"Allows you to ready Bliding Shells. When thrown, these devices explode sending a cloud of fine particles into the air. Enemies affected will have their vision impaired and will atack blindly.","Poison: Medusa Powder
Poison: Blister-Beetle Powder I",6
52,Paralytic Groundfire I,Jutsu,"Allows you to ready Paralytic Groundifre trap. When set, these traps will explode, either when an enemy steps on them, or after a set period of time has ellapsed, scattering a neurotoxin powder over the sorrounding area. Amount Preparable 1-34 Jutsu Cost 1.5",Poison: Medusa Powder,6
53,Medicine: Siki-gan Pill,Jutsu,"Allows you to ready Shiki-gan Pill. When taken, these pills cure paralysis and removes the accumulation of paralytic effects, while also increasing your resistance to paralysis. These pills may be used while paralyzed.",Base,6
54,Medicine: Seven-Herb Pills I,Jutsu,"Allows you to ready Seven-Herb Pills. When taken, these pills naturalize the Paralyzed status ailment and dispel all Paralysis accumulation,  simultaneously boosting your resistance to Paralysis. These pills may be used while paralyzed. Amount Preparable 1-3 Jutsu Cost 1.0",Poison: Hemlock Broth I,6
55,Paralytic Control I,Passive,+5.0 against paralysis.,Medicine: Seven-Herb Pills I,6
56,Stun Arrows I,Jutsu,"Allows you to ready Stun Arrow. When used, this tincture ibmues arrows with a paralyzing effect. Amount Preparable 1-4 Jutsu Cost 1.5",Poison: Arrows I,6
57,Paralysis Shuriken I,Jutsu,"When Thrown, these weapons paralyze enemies as well as inflicting physical damage.",Poison Shuriken I,6
0,Bolting Boar,Active,Sidestep an enemy attack before knocking them to the ground. (Mid stance only),Base,7
1,Undaunted,Active,"Stab your weapon into the ground, solidifying your defense.
Command: L1 + Square button (square While guarding)",Imperative Strike,7
2,Defense Arts I,Passive,Increases Ki recovery speed while guarding by 20% when you have an odachi equipped as your main weapon.,Bolting Boar,7
3,Defense Arts II,Passive,Increases Ki recovery speed while guarding by 15% when you have an odachi equipped as your main weapon.,"Defense Arts I
Cleared Mision ""The Sun Sets On Mount tenno"".",7
4,Defense Arts III,Passive,Increases Ki recovery speed while guarding by 10% when you have an odachi equipped as your main weapon.,"Defense Arts II
Cleared Mission ""???""",7
5,Charging Bull,Active,"Slashes downward with the odachi. If the attack reduces an enemy's Ki to zero, it will knock them down. (Mid Stance only).
Command: triangle button at end of combo ",Bolting Boar,7
6,Cuckoo's Call,Active,"Deflects the enemy's attack, then perform a slashing attack. (Press and hold the button to extend the duration of the blocking phase.) (Mid stance only).
Command: L1 + Square button (square while guarding)","Charging Bull
Cleared Mission ''The Sun Sets On Mount Tenno''.",7
7,Moonlit Snow,Active,Press ___ button to perform up to three powerful hits in succession. The technique can be changed by pressing and holding down ___ button from any stance.,"Cuckoo's Call
Cleared Mission ''The Sun Sets On Mount Tenno''.",7
8,Tail Strike,Active,"Use the hilt of the sword to throw an enemy off balance. (Mid/Low stance only).
Command triangle button at end of combo.",Bolting Boar,7
9,Crashing Waves,Active,"Charges into the enemy, knocking them off balance.
Command: L1 + Square button (square while guarding)","Tail Strike
Cleared Mission ''The Sun Sets On Mount Tenno''.",7
10,Waking Winds: Heaven,Active,"Allows you to follow up a quick attack from a mid or low stance with a strong attack from the high stance. (Mid/Low stance only).
Command: triangle at end of combo.","Bolting Boar
Tiger's Blade",7
11,Sunset Breeze: Heaven,Active,"Allows you to follow up a strong attack from mid or low stance with a quick attack from high stance. (Mid/Low stance only).
Comand: square at end of combo.",Waking Winds: Heaven,7
12,Armor Piercer I,Passive,Increases Final Blow damage by 4% when you have an odachi equipped as your main weapon.,Twin Moons,7
13,Armor Piercer II,Passive,Increases Final Blow damage by 3% when you have  an odachi equipped as your main weapon.,"Armor Piercer I
Cleared Mission ""The Sun Sets On Mount Tenno"".",7
14,Armor Piercer III,Passive,Increases Final Blow damage by 2% when you have  an odachi equipped as your main weapon.,Armor Piercer II,7
15,Tiger's Blade,Active,"Leaps above an enemy and cleaves them in two. (Low stance only).
Command: L3 Up + triangle burron at end of combo.",Base,7
16,Groundquake,Active,"Strikes the ground with great force, creating a shockwave that damages the area.","Twin Moons
Imperative Strike",7
17,Swallow Wing,Active,"At the end of a combo, you perform a backflip while delivering a final sword slash.
Command: Triangle button at end of combo.",Tiger's Blade,7
18,Imperative Strike,Active,Performs a single powerful strike after drawing the sword. Can only be used when your sword is sheathed,Base,7
19,Retrograde Flow,Active,"Stabs the odachi into the earth, then kicks the blade to wound an enemy. If the attack reduces an enemy's Ki to zero, it will send them flying.",Tiger's Blade,7
20,Dawn's Light,Active,"After getting knocked down, press triangle button to attack while getting back up.
Command: triangle While downed","Retrograde Flow
Cleared Mission ''???''",7
21,Tachi Arts I,Passive,Increases melee damage against enemies with full health by 5% when you have an odachi equipped as your main weapon.,Undaunted,7
22,Tachi Arts II,Passive,Increases melee damage against enemies with full health by 4% when you have odachi equipped as your main weapon.,"Tachi Arts I
Cleared Mission ""The Sun Sets On Mount Tenno"".",7
23,Tachi Arts III,Passive,Increases melee damage against enemies with full health by 3% when you have an odachi equipped as your main weapon.,"Tachi Arts II
Cleared Mision ""???""",7
24,Waking Winds: Man,Active,"Allows you to follow up a quick attack from a high or low stance with a strong attack from mid stance. (High/Low stance only).
Command: Hold R1 + circle button",Imperative Strike,7
25,Sunset Breeze: Man,Active,Allows you to follow up a strong attack from high or low stance with a quick attack from mid stance. (High/Low stance only),Waking Winds: Man,7
26,Passage to the Afterlife I,Passive,Increases grapple damage by 4% when you have an odachi equipped as your main weapon.,"Tiger's Blade
Imperative Strike",7
27,Passage to the Afterlife II,Passive,Increases grapple damage by 3% when you have an odachi equipped as your main weapon.,Passage to the Afterlife I,7
28,Passage to the Afterlife III,Passive,Increases grapple damage by 2% when you have an odachi equipped as your main weapon.,Passage to the Afterlife II,7
29,Clarity,Active,"Hastens your Ki recovery by sacrificing movement speed. Can only be used when your sword is sheathed.
Command: Hold R1 + Square Button.",Imperative Strike,7
